ID	label	region	name	name_full	hemi	color
0	background					
2	cortex_rh_ACgG	cortex	ACgG	anterior_cingulate_gyrus	rh	#DE0016
16	cortex_rh_OFC	cortex	OFC	orbital_frontal_cortex	rh	#FFBFDE
50	cortex_rh_lat_PFC	cortex	lat_PFC	lateral_prefrontal_cortex	rh	#391D80
77	cortex_rh_motor	cortex	motor	motor_cortex	rh	#002F80
91	cortex_rh_SI/SII	cortex	SI/SII	somatosensory_cortex	rh	#002EE8
96	cortex_rh_SPL	cortex	SPL	superior_parietal_lobule	rh	#0046BF
112	cortex_rh_IPL	cortex	IPL	inferior_parietal_lobule	rh	#73F6FF
125	cortex_rh_PMC	cortex	PMC	posterior_medial_cortex	rh	#008055
139	cortex_rh_MTL	cortex	MTL	medial_temporal_lobe	rh	#3BFF6F
165	cortex_rh_TG	cortex	TG	temporal_pole	rh	#5EFF00
175	cortex_rh_ITC	cortex	ITC	inferior_temporal_cortex	rh	#768039
193	cortex_rh_STG/STSd	cortex	STG/STSd	superior_temporal_region	rh	#FFFB8C
204	cortex_rh_core/belt	cortex	core/belt	core_and_belt_areas_of_auditory_cortex	rh	#B57F00
224	cortex_rh_floor_of_ls	cortex	floor_of_ls	floor_of_the_lateral_sulcus	rh	#FFAA00
232	cortex_rh_MT	cortex	MT	middle_temporal_area	rh	#FF583B
233	cortex_rh_V2-V4	cortex	V2-V4	extrastriate_visual_areas_2-4	rh	#FFB700
246	cortex_rh_V1	cortex	V1	primary_visual_cortex	rh	#FFFFBF
1002	cortex_lh_ACgG	cortex	ACgG	anterior_cingulate_gyrus	lh	#DE0016
1016	cortex_lh_OFC	cortex	OFC	orbital_frontal_cortex	lh	#FFBFDE
1050	cortex_lh_lat_PFC	cortex	lat_PFC	lateral_prefrontal_cortex	lh	#391D80
1077	cortex_lh_motor	cortex	motor	motor_cortex	lh	#002F80
1091	cortex_lh_SI/SII	cortex	SI/SII	somatosensory_cortex	lh	#002EE8
1096	cortex_lh_SPL	cortex	SPL	superior_parietal_lobule	lh	#0046BF
1112	cortex_lh_IPL	cortex	IPL	inferior_parietal_lobule	lh	#73F6FF
1125	cortex_lh_PMC	cortex	PMC	posterior_medial_cortex	lh	#008055
1139	cortex_lh_MTL	cortex	MTL	medial_temporal_lobe	lh	#3BFF6F
1165	cortex_lh_TG	cortex	TG	temporal_pole	lh	#5EFF00
1175	cortex_lh_ITC	cortex	ITC	inferior_temporal_cortex	lh	#768039
1193	cortex_lh_STG/STSd	cortex	STG/STSd	superior_temporal_region	lh	#FFFB8C
1204	cortex_lh_core/belt	cortex	core/belt	core_and_belt_areas_of_auditory_cortex	lh	#B57F00
1224	cortex_lh_floor_of_ls	cortex	floor_of_ls	floor_of_the_lateral_sulcus	lh	#FFAA00
1232	cortex_lh_MT	cortex	MT	middle_temporal_area	lh	#FF583B
1233	cortex_lh_V2-V4	cortex	V2-V4	extrastriate_visual_areas_2-4	lh	#FFB700
1246	cortex_lh_V1	cortex	V1	primary_visual_cortex	lh	#FFFFBF
502	subcortex_rh_LVPal	subcortex	LVPal	lateral_and_ventral_pallium	rh	
510	subcortex_rh_MPal	subcortex	MPal	medial_pallium	rh	
516	subcortex_rh_Amy	subcortex	Amy	amygdala	rh	
542	subcortex_rh_BG	subcortex	BG	basal_ganglia	rh	
561	subcortex_rh_DSP	subcortex	DSP	diagonal_subpallium	rh	
569	subcortex_rh_POC	subcortex	POC	preoptic_complex	rh	
575	subcortex_rh_Hy	subcortex	Hy	hypothalamus	rh	
603	subcortex_rh_PreThal	subcortex	PreThal	prethalamus	rh	
605	subcortex_rh_Thal	subcortex	Thal	thalamus	rh	
653	subcortex_rh_EpiThal	subcortex	EpiThal	epithalamus	rh	
656	subcortex_rh_PrT	subcortex	PrT	pretectum	rh	
663	subcortex_rh_Mid	subcortex	Mid	midbrain	rh	
705	subcortex_rh_Pons	subcortex	Pons	pons	rh	
741	subcortex_rh_Cb	subcortex	Cb	cerebellum	rh	
780	subcortex_rh_Med	subcortex	Med	medulla	rh	
1502	subcortex_lh_LVPal	subcortex	LVPal	lateral_and_ventral_pallium	lh	
1510	subcortex_lh_MPal	subcortex	MPal	medial_pallium	lh	
1516	subcortex_lh_Amy	subcortex	Amy	amygdala	lh	
1542	subcortex_lh_BG	subcortex	BG	basal_ganglia	lh	
1561	subcortex_lh_DSP	subcortex	DSP	diagonal_subpallium	lh	
1569	subcortex_lh_POC	subcortex	POC	preoptic_complex	lh	
1575	subcortex_lh_Hy	subcortex	Hy	hypothalamus	lh	
1603	subcortex_lh_PreThal	subcortex	PreThal	prethalamus	lh	
1605	subcortex_lh_Thal	subcortex	Thal	thalamus	lh	
1653	subcortex_lh_EpiThal	subcortex	EpiThal	epithalamus	lh	
1656	subcortex_lh_PrT	subcortex	PrT	pretectum	lh	
1663	subcortex_lh_Mid	subcortex	Mid	midbrain	lh	
1705	subcortex_lh_Pons	subcortex	Pons	pons	lh	
1741	subcortex_lh_Cb	subcortex	Cb	cerebellum	lh	
1780	subcortex_lh_Med	subcortex	Med	medulla	lh	
-1	WM_rh_ctxWM	WM	ctxWM	cerebral_white_matter	rh	
-2	CSF_rh_latVent	CSF	latVent	lateral_ventricle	rh	
-501	WM_rh_cbWM	WM	cbWM	cerebellum_white_matter	rh	
-1001	WM_lh_ctxWM	WM	ctxWM	cerebral_white_matter	lh	
-1002	CSF_lh_latVent	CSF	latVent	lateral_ventricle	lh	
-1501	WM_lh_cbWM	WM	cbWM	cerebellum_white_matter	lh	
